"","taxon.name","variable.units","variable.element","variable.context","taxon.group","ecological.group","alias","compressed"
"9451","Betula mean pollen-grain diameter","µm",NA,NA,"Biometric variables","BIOM",NA,"Other"
"9494","Iris","NISP","pollen",NA,"Vascular plants","UPHE","Iris","Other"
"9500","Dipsacus","NISP","pollen",NA,"Vascular plants","UPHE","Dipsacus","Other"
"9505","Unknown (trilete, psilate)","NISP","spore",NA,"Unidentified","UNID","Unknown (trilete, psilate)","Other"
"9506","Unknown (type A)","NISP","pollen/spore",NA,"Unidentified","UNID","Unknown (type A)","Other"
"9512","Unknown (trilete, sculptured)","NISP","spore",NA,"Unidentified","UNID","Unknown (trilete, sculptured)","Other"
"9513","cf. Phacelia","NISP","pollen",NA,"Vascular plants","UPHE","cf. Phacelia","Other"
"9517","Musci","NISP","spore",NA,"Bryophytes","UPBR","Musci","Other"
"9634","Comandra","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"9635","Lysimachia","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"9636","cf. Zamia","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"9651","cf. Dalea","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"9654","cf. Elaeagnaceae","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"9705","Helianthus","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"9709","Sium","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"9731","cf. Cistaceae","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"9733","cf. Linnaea borealis","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"9735","Engelhardia/Alfaroa","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"9746","Corylus/Myrica","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"9781","Meliaceae","NISP","pollen",NA,"Vascular plants","TRSH","Meliaceae","Other"
"9810","Potamogeton-type","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"9869","Unknown (alete, psilate)","NISP","spore",NA,"Unidentified","UNID",NA,"Other"
"9870","cf. Primulaceae","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"9871","Unknown (monolete, sculptured)","NISP","spore",NA,"Unidentified","UNID",NA,"Other"
"9897","Lythrum alatum","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"9956","Lythraceae","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"9958","Citrus","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"9959","Eugenia","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"9964","Rhexia-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"9966","Sapindus","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"9974","Osmanthus","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"9981","Piperaceae-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"9984","Dodonaea","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"9986","Bursera","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"9990","Pseudolycopodiella caroliniana","NISP","spore",NA,"Vascular plants","VACR",NA,"Other"
"9991","Euonymus","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"9992","Myrsine","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"9994","Combretaceae/Melastomataceae undiff.","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"9996","Meliaceae/Sapotaceae undiff.","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"10002","Acalypha","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"10004","Araliaceae","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"10006","Rhizophora","NISP","pollen",NA,"Vascular plants","MANG",NA,"Other"
"10011","Myrtaceae undiff.","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"10012","Forestiera","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"10014","Unknown (trilete, foveolate)","NISP","spore",NA,"Unidentified","UNID",NA,"Other"
"10017","cf. Viola","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"10018","Zanthoxylum-type","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"10020","Rutaceae undiff.","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"10021","cf. Bocconia","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"10025","Laguncularia","NISP","pollen",NA,"Vascular plants","MANG",NA,"Other"
"10026","Byrsonima","NISP","pollen",NA,"Vascular plants","TRSH","Byrsonima","Other"
"10033","Rhexia-type","NISP","pollen",NA,"Vascular plants","UPHE","Rhexia-type","Other"
"10037","Polygonella ciliata-type","NISP","pollen",NA,"Vascular plants","UPHE","Polygonella ciliata-type","Other"
"10039","Pinus/Picea","NISP","stomate",NA,"Vascular plants","TRSH","Pinus/Picea","Other"
"10045","Combretaceae/Melastomataceae undiff.","NISP","pollen",NA,"Vascular plants","TRSH","Combretaceae/Melastomataceae undiff.","Other"
"10048","Acalypha-type","NISP","pollen",NA,"Vascular plants","UPHE","Acalypha-type","Other"
"10049","cf. Araliaceae","NISP","pollen",NA,"Vascular plants","UPHE","cf. Araliaceae","Other"
"10051","Orchidaceae","NISP","pollen",NA,"Vascular plants","UPHE","Orchidaceae","Other"
"10052","Bursera","NISP","pollen",NA,"Vascular plants","TRSH","Bursera","Other"
"10054","Ledum-type","NISP","pollen",NA,"Vascular plants","TRSH","Ledum-type","Other"
"10055","Bromeliaceae","NISP","pollen",NA,"Vascular plants","UPHE","Bromeliaceae","Other"
"10059","cf. Physalis","NISP","pollen",NA,"Vascular plants","UPHE","cf. Physalis","Other"
"10062","Solanaceae undiff.","NISP","pollen",NA,"Vascular plants","UPHE","Solanaceae undiff.","Other"
"10063","Lupinus-type","NISP","pollen",NA,"Vascular plants","UPHE","Lupinus-type","Other"
"10064","Eryngium-type","NISP","pollen",NA,"Vascular plants","UPHE","Eryngium-type","Other"
"10066","cf. Verbenaceae","NISP","pollen",NA,"Vascular plants","UPHE","cf. Verbenaceae","Other"
"10067","Gentianaceae undiff.","NISP","pollen",NA,"Vascular plants","UPHE","Gentianaceae undiff.","Other"
"10075","Unknown (Tertiary)","NISP","pollen/spore","anachronic","Unidentified","ANAC","Unknown (Tertiary)","Other"
"10076","Ximenia","NISP","pollen",NA,"Vascular plants","TRSH","Ximenia","Other"
"10077","Hedyosmum","NISP","pollen",NA,"Vascular plants","TRSH","Hedyosmum","Other"
"10080","Magnoliopsida undiff. (herbs)","NISP","stomate",NA,"Vascular plants","UPHE","Magnoliopsida undiff. (herbs)","Other"
"10086","Arceuthobium/Loranthaceae","NISP","pollen",NA,"Vascular plants","TRSH","Arceuthobium/Loranthaceae","Other"
"10088","Piperaceae-type","NISP","pollen",NA,"Vascular plants","UPHE","Piperaceae-type","Other"
"10094","Zanthoxylum-type","NISP","pollen",NA,"Vascular plants","TRSH","Zanthoxylum-type","Other"
"10096","cf. Oxalis","NISP","pollen",NA,"Vascular plants","UPHE","cf. Oxalis","Other"
"10097","cf. Weinmannia","NISP","pollen",NA,"Vascular plants","TRSH","cf. Weinmannia","Other"
"10104","Cedrus","NISP","pollen",NA,"Vascular plants","TRSH","Cedrus","Other"
"10105","Rutaceae undiff.","NISP","pollen",NA,"Vascular plants","TRSH","Rutaceae undiff.","Other"
"10106","Engelhardia-type","NISP","pollen","anachronic","Vascular plants","ANAC","Engelhardia-type","Other"
"10107","Cistaceae","NISP","pollen",NA,"Vascular plants","UPHE","Cistaceae","Other"
"10123","cf. Portulacaceae","NISP","pollen",NA,"Vascular plants","UPHE","cf. Portulacaceae","Other"
"10132","Musci A","NISP","spore",NA,"Bryophytes","UPBR",NA,"Other"
"10135","Coelastrum","NISP","palynomorph",NA,"Algae","ALGA",NA,"Other"
"10240","Melastomataceae","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"10274","Justicia","NISP","pollen",NA,"Vascular plants","UPHE","Justicia","Other"
"10288","Sassafras albidum","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"10295","Comarum cf. C. palustre","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"10310","Gentiana puberulenta-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"10342","cf. Heuchera richardsonii","NISP","pollen",NA,"Vascular plants","UPHE","cf. Heuchera richardsonii","Other"
"10343","cf. Linaria canadensis","NISP","pollen",NA,"Vascular plants","UPHE","cf. Linaria canadensis","Other"
"10344","cf. Tidestromia","NISP","pollen",NA,"Vascular plants","UPHE","cf. Tidestromia","Other"
"10345","Chamaesyce","NISP","pollen",NA,"Vascular plants","UPHE","Chamaesyce","Other"
"10347","Isoëtes echinospora","NISP","spore",NA,"Vascular plants","AQVP","Isoëtes echinospora","Other"
"10358","Viburnum cf. V. opulus","NISP","pollen",NA,"Vascular plants","TRSH","Viburnum cf. V. opulus","Other"
"10359","cf. Mertensia paniculata","NISP","pollen",NA,"Vascular plants","UPHE","cf. Mertensia paniculata","Other"
"10361","cf. Parietaria pensylvanica","NISP","pollen",NA,"Vascular plants","UPHE","cf. Parietaria pensylvanica","Other"
"10363","Cingutriletes interruptus","NISP","spore","anachronic","Vascular plants","ANAC","Cingutriletes interruptus","Other"
"10364","Cymatiosphere","NISP","palynomorph","anachronic","Unidentified","ANAC","Cymatiosphere","Other"
"10365","Psilatriletes vulgaris","NISP","spore","anachronic","Vascular plants","ANAC","Psilatriletes vulgaris","Other"
"10367","Tofieldia pusilla","NISP","pollen",NA,"Vascular plants","UPHE","Tofieldia pusilla","Other"
"10368","Striatriletes","NISP","spore","anachronic","Vascular plants","ANAC","Striatriletes","Other"
"10369","Cingutriletes parvicingulus","NISP","spore","anachronic","Vascular plants","ANAC","Cingutriletes parvicingulus","Other"
"10370","Punctatriletes parvimundus","NISP","spore","anachronic","Vascular plants","ANAC","Punctatriletes parvimundus","Other"
"10371","Rugubivesiculites","NISP","pollen","anachronic","Vascular plants","ANAC","Rugubivesiculites","Other"
"10372","cf. Mitella nuda","NISP","pollen",NA,"Vascular plants","UPHE","cf. Mitella nuda","Other"
"10373","Classopollis","NISP","pollen","anachronic","Vascular plants","ANAC","Classopollis","Other"
"10374","Granabivesiculites inchoatus","NISP","pollen","anachronic","Vascular plants","ANAC","Granabivesiculites inchoatus","Other"
"10475","Lysimachia thyrsiflora","NISP","pollen",NA,"Vascular plants","UPHE","Lysimachia thyrsiflora","Other"
"10477","Viburnum rafinesquianum-type","NISP","pollen",NA,"Vascular plants","TRSH","Viburnum rafinesquianum-type","Other"
"10484","Lysimachia quadriflora-type","NISP","pollen",NA,"Vascular plants","UPHE","Lysimachia quadriflora-type","Other"
"10503","Bryales","NISP","spore",NA,"Bryophytes","UPBR",NA,"Other"
"10506","Marchantiophyta","NISP","spore",NA,"Bryophytes","UPBR",NA,"Other"
"10514","Lycopodiella","NISP","spore",NA,"Vascular plants","VACR",NA,"Other"
"10517","Alismataceae","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"10519","Ligustrum","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"10587","Unknown (type 2)","NISP","pollen/spore",NA,"Unidentified","UNID","Unknown (type 2)","Other"
"10588","Unknown (type 3)","NISP","pollen/spore",NA,"Unidentified","UNID","Unknown (type 3)","Other"
"10589","Unknown (type 4)","NISP","pollen/spore",NA,"Unidentified","UNID","Unknown (type 4)","Other"
"10597","cf. Equisetum","NISP","spore",NA,"Vascular plants","VACR","cf. Equisetum","Other"
"10598","cf. Aquilegia","NISP","pollen",NA,"Vascular plants","UPHE","cf. Aquilegia","Other"
"10600","Aesculus","NISP","pollen",NA,"Vascular plants","UPHE","Aesculus","Other"
"10624","Viscaceae sensu stricto","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"10648","Purshia-type","NISP","pollen",NA,"Vascular plants","TRSH","Purshia-type","Other"
"10649","Ribes aureum","NISP","pollen",NA,"Vascular plants","TRSH","Ribes aureum","Other"
"10650","Plantago/Thalictrum","NISP","pollen",NA,"Vascular plants","UPHE","Plantago/Thalictrum","Other"
"10652","cf. Collinsia","NISP","pollen",NA,"Vascular plants","UPHE","cf. Collinsia","Other"
"10683","Boerhavia","NISP","pollen",NA,"Vascular plants","UPHE","Boerhavia","Other"
"10688","Hamamelis virginiana","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"10702","Hamamelidaceae","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"10706","Purshia","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"10710","Phlebodium","NISP","spore",NA,"Vascular plants","VACR",NA,"Other"
"10718","Unknown (tricolpate)","NISP","pollen",NA,"Unidentified","UNID",NA,"Other"
"10856","cf. Caltha","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"10938","Myrica/Casuarina","NISP","pollen",NA,"Vascular plants","TRSH","Myrica/Casuarina","Other"
"10942","cf. Zamia","NISP","pollen",NA,"Vascular plants","TRSH","cf. Zamia","Other"
"10943","Conocarpus-type","NISP","pollen",NA,"Vascular plants","MANG","Conocarpus-type","Other"
"10945","Iva frutescens","NISP","pollen",NA,"Vascular plants","UPHE","Iva frutescens","Other"
"10946","Polygonaceae cf. Muehlenbeckia","NISP","pollen",NA,"Vascular plants","UPHE","Polygonaceae cf. Muehlenbeckia","Other"
"10947","Primulaceae subf. Myrsinoideae","NISP","pollen",NA,"Vascular plants","TRSH","Primulaceae subf. Myrsinoideae","Other"
"10951","Eugenia/Melaleuca","NISP","pollen",NA,"Vascular plants","TRSH","Eugenia/Melaleuca","Other"
"10953","Rhizophora mangle","NISP","pollen",NA,"Vascular plants","MANG","Rhizophora mangle","Other"
"10954","Stuckenia-type","NISP","pollen",NA,"Vascular plants","AQVP","Stuckenia-type","Other"
"10955","Araceae cf. Anthurium-type","NISP","pollen",NA,"Vascular plants","UPHE","Araceae cf. Anthurium-type","Other"
"10957","Lycopodiella inundata-type","NISP","spore",NA,"Vascular plants","VACR","Lycopodiella inundata-type","Other"
"10960","Euphorbiaceae cf. Chamaesyce","NISP","pollen",NA,"Vascular plants","UPHE","Euphorbiaceae cf. Chamaesyce","Other"
"10963","Thouinia","NISP","pollen",NA,"Vascular plants","TRSH","Thouinia","Other"
"10965","cf. Ardisia","NISP","pollen",NA,"Vascular plants","TRSH","cf. Ardisia","Other"
"10966","cf. Laguncularia","NISP","pollen",NA,"Vascular plants","MANG","cf. Laguncularia","Other"
"10967","Bursera-type","NISP","pollen",NA,"Vascular plants","TRSH","Bursera-type","Other"
"10969","cf. Protium","NISP","pollen",NA,"Vascular plants","TRSH","cf. Protium","Other"
"10970","Piperaceae","NISP","pollen",NA,"Vascular plants","TRSH","Piperaceae","Other"
"10997","Hamamelis","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"11000","Chamaesyce-type","NISP","pollen",NA,"Vascular plants","UPHE","Chamaesyce-type","Other"
"11017","Sanicula","NISP","pollen",NA,"Vascular plants","UPHE","Sanicula","Other"
"11043","Indeterminable (reticulate)","NISP","pollen/spore",NA,"Unidentified","UNID","Indeterminable (reticulate)","Other"
"11094","Typha (tetrad)","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"11106","Potamogeton-type","NISP","pollen",NA,"Vascular plants","AQVP","Potamogeton-type","Other"
"11208","Hypoxis hirsuta","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"11209","Lysimachia ciliata-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"11286","Menyanthes","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"11313","Prosopis cf. P. pubescens","NISP","pollen",NA,"Vascular plants","TRSH","Prosopis cf. P. pubescens","Other"
"11318","Valeriana edulis","NISP","pollen",NA,"Vascular plants","UPHE","Valeriana edulis","Other"
"11342","Unknown (trilete, scabrate)","NISP","spore",NA,"Unidentified","UNID",NA,"Other"
"11347","Unknown (monolete, verrucate)","NISP","spore",NA,"Unidentified","UNID",NA,"Other"
"11354","Asteraceae (lophate, echinate)","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"11389","Coniferae undiff.","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"11420","Elodea","NISP","pollen",NA,"Vascular plants","AQVP","Elodea","Other"
"11421","Coniferae undiff.","NISP","stomate",NA,"Vascular plants","TRSH","Coniferae undiff.","Other"
"11428","Unknown (pre-Quaternary)","NISP","pollen/spore","anachronic","Unidentified","UNID","Unknown (pre-Quaternary)","Other"
"11431","Gymnocarpium-type","NISP","spore",NA,"Vascular plants","VACR","Gymnocarpium-type","Other"
"11432","Picea indet.","NISP","pollen",NA,"Vascular plants","TRSH","Picea indet.","Other"
"11436","cf. Arceuthobium","NISP","pollen",NA,"Vascular plants","TRSH","cf. Arceuthobium","Other"
"11438","cf. Cyatheaceae","NISP","spore",NA,"Vascular plants","VACR","cf. Cyatheaceae","Other"
"11446","cf. Saxifraga oppositifolia","NISP","pollen",NA,"Vascular plants","UPHE","cf. Saxifraga oppositifolia","Other"
"11448","Ipomoea","NISP","pollen",NA,"Vascular plants","UPHE","Ipomoea","Other"
"11450","Rubiaceae (pentacolpate)","NISP","pollen",NA,"Vascular plants","UPHE","Rubiaceae (pentacolpate)","Other"
"11451","cf. Acalypha","NISP","pollen",NA,"Vascular plants","UPHE","cf. Acalypha","Other"
"11453","Other plants","NISP","pollen",NA,"Plants undiff.","UNID",NA,"Other"
"11474","Syringa vulgaris","NISP","pollen",NA,"Vascular plants","TRSH","Syringa vulgaris","Other"
"11485","Unknown (pre-Quaternary)","NISP","pollen/spore",NA,"Unidentified","UNID","Unknown (pre-Quaternary)","Other"
"11495","Unknown (pre-Quaternary)","NISP","pollen/spore",NA,"Unidentified","UNID",NA,"Other"
"11497","Rhus glabra-type","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"11499","Penthorum sedoides","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"11501","Sium-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"11502","Mitella-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"11588","cf. Solanaceae","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"11589","cf. Euphorbiaceae","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"11593","cf. Euphorbiaceae","NISP","pollen",NA,"Vascular plants","UPHE","cf. Euphorbiaceae","Other"
"11596","cf. Celtis","NISP","pollen",NA,"Vascular plants","TRSH","cf. Celtis","Other"
"11600","Myriophyllum sibiricum","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"11604","Unknown (Cretaceous)","NISP","palynomorph",NA,"Unidentified","ANAC",NA,"Other"
"11605","cf. Sphagnum","NISP","spore",NA,"Bryophytes","PLNT","cf. Sphagnum","Other"
"11634","Tetraedron","NISP","palynomorph",NA,"Algae","ALGA",NA,"Other"
"11663","Hamamelis virginiana","NISP","pollen",NA,"Vascular plants","TRSH","Hamamelis virginiana","Other"
"11722","Fraxinus-type","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"11725","Populus-type","NISP","pollen",NA,"Vascular plants","SEED",NA,"Other"
"11727","Unknown","NISP","pollen",NA,"Unidentified","UNID",NA,"Other"
"11729","cf. Iva annua","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"11731","cf. Dennstaedtia","NISP","spore",NA,"Vascular plants","VACR",NA,"Other"
"11733","cf. Prunus serotina","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"11736","cf. Plantago","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"11738","Betula/Ostrya","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"11742","cf. Castanea","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"11743","Acer (reticulate)","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"11744","Acer (rugulate)","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"11746","Acer (striate)","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"11747","cf. Impatiens","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"11748","Acer cf. A. spicatum","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"11749","Utricularia vulgaris","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"11791","Nyctaginaceae","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"11796","Algae type A","NISP","cyst",NA,"Algae","ALGA",NA,"Other"
"11797","Algae type B","NISP","cyst",NA,"Algae","ALGA",NA,"Other"
"11799","Amorpha cf. A. canescens","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"11800","Arabis","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"11804","Celastrus scandens","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"11805","cf. Hottonia palustris","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"11806","cf. Stratiotes","NISP","pollen",NA,"Vascular plants","SEED",NA,"Other"
"11808","Cladosporium","NISP","spore",NA,"Fungi","FUNG",NA,"Other"
"11810","Dinoflagellata","NISP","hystrichosphere cyst",NA,"Dinoflagellates","DINO",NA,"Other"
"11816","Lilium philadelphicum","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"11817","Lonicera hirsuta","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"11819","Lysimachia quadriflora-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"11821","Matteuccia/Onoclea","NISP","spore",NA,"Vascular plants","VACR",NA,"Other"
"11823","Nymphoides-type","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"11825","Pediastrum duplex","NISP","palynomorph",NA,"Algae","ALGA",NA,"Other"
"11826","Pediastrum simplex","NISP","palynomorph",NA,"Algae","ALGA",NA,"Other"
"11828","Phlox pilosa","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"11830","Polypodiophyta (with perine)","NISP","spore",NA,"Vascular plants","VACR",NA,"Other"
"11831","Polypodiophyta (without perine)","NISP","spore",NA,"Vascular plants","VACR",NA,"Other"
"11832","Potamogeton pectinatus-type","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"11833","Ranunculus sp.","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"11835","Sambucus racemosa","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"11840","Unknown (pre-Quaternary)","NISP","palynomorph",NA,"Unidentified","UNID",NA,"Other"
"11843","Zizania aquatica","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"11844","Algae type C","NISP","cyst",NA,"Algae","ALGA",NA,"Other"
"11847","Potamogeton natans-type","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"11849","Araceae undiff.","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"11852","Hydrocharis","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"11857","Viola palustris","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"11859","Araceae cf. Calla","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"11861","Portulaca","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"11862","Primulaceae undiff.","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"11863","Rhus sp.","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"11866","Hydrodictyon","NISP","colony",NA,"Algae","ALGA",NA,"Other"
"11868","Algae undiff.","NISP","cyst (reticulate)",NA,"Algae","ALGA",NA,"Other"
"11871","Maianthemum","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"11874","cf. Hippuris","NISP","pollen",NA,"Vascular plants","SEED",NA,"Other"
"11876","cf. Adoxa moschatellina","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"11883","Typha (monad) undiff.","NISP","pollen",NA,"Vascular plants","AQVP","Typha (monad) undiff.","Other"
"11890","Typha (tetrad) undiff.","NISP","pollen",NA,"Vascular plants","AQVP","Typha (tetrad) undiff.","Other"
"11905","Primula farinosa-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"11907","Ilex/Nemopanthus undiff.","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"11937","Pinus edulis","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"12000","Alisma-type","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"12001","Balsaminaceae","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"12003","Tradescantia","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"12005","Algae undiff.","NISP","palynomorph",NA,"Algae","ALGA",NA,"Other"
"12006","Arcella","NISP","test",NA,"Testate amoebae","TEAM",NA,"Other"
"12007","Bryales undiff.","NISP","spore",NA,"Bryophytes","UPBR",NA,"Other"
"12010","Spirogyra-type","NISP","palynomorph",NA,"Algae","ALGA",NA,"Other"
"12014","Meesia","NISP","spore",NA,"Bryophytes","UPBR",NA,"Other"
"12017","Copepoda","NISP","spermatophore",NA,"Crustaceans undiff.","COPE",NA,"Other"
"12019","Microthyrium","NISP","spore",NA,"Fungi","FUNG",NA,"Other"
"12020","Sordariaceae","NISP","spore",NA,"Fungi","FUNG",NA,"Other"
"12022","Zygnema-type","NISP","palynomorph",NA,"Algae","ALGA",NA,"Other"
"12023","Assulina","NISP","test",NA,"Testate amoebae","TEAM",NA,"Other"
"12024","Gelasinospora","NISP","spore",NA,"Fungi","FUNG",NA,"Other"
"12040","Sapindaceae","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"12079","cf. Oxalis","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"12087","Sisyrinchium","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"12096","Haloragaceae","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"12158","Nymphoides","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"12197","Quercus vaccinifolia","NISP","pollen",NA,"Vascular plants","TRSH","Quercus vaccinifolia","Other"
"12262","Pinaceae (vesiculate)","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"12271","Rorippa","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"12286","Unknown/Rare","NISP","pollen/spore",NA,"Plants undiff.","PLNT",NA,"Other"
"12287","cf. Linum","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"12289","Lycopodium cf. L. clavatum","NISP","spore",NA,"Vascular plants","VACR",NA,"Other"
"12302","Linum cf. L. usitatissimum","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"12310","Rumex cf. R. britannica","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"12317","Rumex cf. R. mexicanus","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"12318","cf. Veronicastrum","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"12325","cf. Euphorbia","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"12326","cf. Veronicastrum virginicum","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"12328","Fabaceae cf. tribe Psoraleeae","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"12377","Saxifraga hirculus","NISP","pollen",NA,"Vascular plants","UPHE","Saxifraga hirculus","Other"
"12379","Cupressaceae/Taxaceae undiff.","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"12402","Fagaceae","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
